"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"1200358308227403776","https://twitter.com/ogato_desuyo/status/1200358308227403776","PSYCHO-PASSでなく野郎ラーメンに反応した https://t.co/WDn9fwge4i","2019-11-29 10:18 +0000","1280.0","5.0","0.00390625","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200356796067500033","https://twitter.com/ogato_desuyo/status/1200356796067500033","@mzsm_j @pkMoRcyFYIiUVHa 絶対フォン感の持ち主でしたか","2019-11-29 10:12 +0000","303837.0","7024.0","0.02311765848135678","852.0","4.0","4136.0","482.0","0.0","0.0","1549.0","1.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200347981951557633","https://twitter.com/ogato_desuyo/status/1200347981951557633","手がいい感じに沈むのでスーパー使い心地が良いです😉 https://t.co/UwUt6uRvy6","2019-11-29 09:37 +0000","1324.0","22.0","0.01661631419939577","1.0","0.0","14.0","5.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200347283897737218","https://twitter.com/ogato_desuyo/status/1200347283897737218","布教しながらもぐもぐします https://t.co/K1gDBEdBAV","2019-11-29 09:34 +0000","943.0","5.0","0.005302226935312832","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200341647889846272","https://twitter.com/ogato_desuyo/status/1200341647889846272","自分、お硬い感じのお話とか会食とか苦手なのでひたすらオードブルもぐもぐしてていいっすか？()","2019-11-29 09:12 +0000","810.0","18.0","0.022222222222222223","0.0","0.0","8.0","8.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200334740840013831","https://twitter.com/ogato_desuyo/status/1200334740840013831","@koukiwf あ^～いいっすね～☺️","2019-11-29 08:44 +0000","56.0","1.0","0.017857142857142856","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200332073115906048","https://twitter.com/ogato_desuyo/status/1200332073115906048","ひっそりと作業したい人用の作業スペースを作りました https://t.co/iNNOQxKdLW","2019-11-29 08:34 +0000","1923.0","300.0","0.15600624024961","0.0","2.0","17.0","5.0","3.0","0.0","9.0","0.0","0","0","0","0","0","264","264","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200257405541482497","https://twitter.com/ogato_desuyo/status/1200257405541482497","北海道の冬といったらどさんこラーメンですね！！！ https://t.co/q44kssFURj","2019-11-29 03:37 +0000","1117.0","4.0","0.0035810205908683975","0.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200256065578749952","https://twitter.com/ogato_desuyo/status/1200256065578749952","@nakamakoko いざとなれば喜んで行かせていただきます！！！笑","2019-11-29 03:32 +0000","191.0","5.0","0.02617801047120419","0.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200255817871544322","https://twitter.com/ogato_desuyo/status/1200255817871544322","@makomimame そのうち放り込まれると思いますけどね笑","2019-11-29 03:31 +0000","62.0","1.0","0.016129032258064516","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
